employer_id,company_name,industry,country,signup_date
1,Daniels Group,Education,Italy,2025-03-25
2,"Kennedy, Anderson and Morton",Finance,Portugal,2025-03-25
3,Young PLC,Finance,Germany,2025-03-25
4,Moore-Wagner,Healthcare,Nigeria,2025-03-26
5,Graves PLC,Technology,Bolivia,2025-03-19
6,Cain Ltd,Education,Spain,2025-03-17
7,Harmon-Hansen,Education,Kenya,2025-03-20
8,Nichols-Baldwin,Education,Brazil,2025-03-25
9,"Brown, Hull and Reed",Technology,Argentina,2025-03-17
10,"Baker, Shelton and Chavez",Education,Brazil,2025-03-26
11,"Huerta, Black and Perez",Education,Brazil,2025-03-25
12,Williams Ltd,Finance,France,2025-03-23
13,Johnson LLC,Finance,Colombia,2025-03-29
14,Moore-Carpenter,Healthcare,Chile,2025-03-21
15,Lyons-Morgan,Finance,South Africa,2025-03-26
16,"Moore, Sullivan and Howard",Education,Mexico,2025-03-29
17,Bradley Group,Finance,Peru,2025-03-29
18,"Hendrix, Mason and Willis",Finance,United States,2025-03-29
19,"Beck, Faulkner and Fischer",Technology,Paraguay,2025-03-21
20,Thomas Ltd,Technology,Kenya,2025-03-16
21,Miller-Douglas,Finance,France,2025-03-19
22,"Garner, Ramsey and Weaver",Healthcare,Uruguay,2025-03-17
23,Allen Inc,Education,Bolivia,2025-03-23
24,"Murphy, Gonzalez and Smith",Technology,India,2025-03-19
25,"Murray, Henry and Taylor",Finance,Peru,2025-03-18
26,"Perry, Bell and Hood",Finance,Brazil,2025-03-17
27,Smith-Zuniga,Healthcare,Paraguay,2025-03-20
28,"Kim, Byrd and Mathis",Technology,Argentina,2025-03-25
29,Clements-Hawkins,Healthcare,Portugal,2025-03-19
30,Campbell and Sons,Education,France,2025-03-29
31,"Mitchell, Rios and Mahoney",Education,Bolivia,2025-03-21
32,Ramirez-Sandoval,Finance,Peru,2025-03-20
33,Goodman and Sons,Finance,Paraguay,2025-03-25
34,Ward Group,Healthcare,Bolivia,2025-03-25
35,Buchanan Group,Education,Portugal,2025-03-24
36,Stark-Matthews,Technology,Kenya,2025-03-16
37,Boyd-Reid,Technology,Paraguay,2025-03-26
38,"Huffman, Melton and Johnson",Education,Kenya,2025-03-27
39,"Hunt, Frederick and Lane",Healthcare,Spain,2025-03-29
40,Campos-Morrow,Finance,Turkey,2025-03-28
41,Reid Inc,Technology,Peru,2025-03-26
42,Leonard LLC,Finance,United Kingdom,2025-03-25
43,"Martin, Raymond and White",Technology,Greece,2025-03-29
44,"Adams, Dean and Brown",Finance,Mexico,2025-03-23
45,"Thomas, Roth and Anderson",Education,United Kingdom,2025-03-27
46,Smith Ltd,Technology,Bolivia,2025-03-15
47,Reed-Fowler,Healthcare,Italy,2025-03-22
48,Patrick-Lawson,Technology,Greece,2025-03-21
49,Mcdonald-Hayes,Finance,India,2025-03-21
50,"Fletcher, Rhodes and Copeland",Technology,United States,2025-03-17
51,Harrell Group,Healthcare,Chile,2025-03-24
52,Turner-Smith,Finance,Turkey,2025-03-22
53,Hernandez and Sons,Finance,Ecuador,2025-03-20
54,White PLC,Technology,Colombia,2025-03-26
55,"Davis, Green and Chavez",Education,Spain,2025-03-21
56,"Fritz, Johnson and Lewis",Technology,Paraguay,2025-03-25
57,Carrillo Inc,Technology,Uruguay,2025-03-23
58,Moreno-King,Finance,United Kingdom,2025-03-26
59,"Hernandez, Medina and Ramirez",Technology,Mexico,2025-03-16
60,"Thomas, Graham and Martinez",Finance,Bolivia,2025-03-15
61,"Saunders, Martin and Greene",Healthcare,Ecuador,2025-03-20
62,Elliott PLC,Finance,Turkey,2025-03-23
63,"George, Williamson and Collins",Finance,Uruguay,2025-03-18
64,Bates LLC,Finance,Argentina,2025-03-28
65,"Mcdonald, Haney and Kramer",Technology,Colombia,2025-03-17
66,"Hall, Pratt and Bright",Technology,Colombia,2025-03-28
67,"Smith, Case and Carpenter",Finance,Uruguay,2025-03-24
68,Mccoy PLC,Technology,South Africa,2025-03-24
69,"Davies, Watson and White",Healthcare,Turkey,2025-03-23
70,Crawford-Peterson,Finance,Portugal,2025-03-18
71,Sanchez and Sons,Technology,Peru,2025-03-27
72,Sullivan Group,Healthcare,Venezuela,2025-03-22
73,"Moore, Velez and Andersen",Finance,Kenya,2025-03-18
74,Brennan Ltd,Healthcare,Chile,2025-03-15
75,Long-Jackson,Technology,India,2025-03-15
76,"Allen, Roberts and Mayo",Education,United States,2025-03-15
77,Vaughn-Maxwell,Healthcare,Mexico,2025-03-18
78,"Dominguez, Johns and Sanchez",Education,France,2025-03-18
79,"Shields, Holland and Douglas",Technology,South Africa,2025-03-21
80,"Lopez, Hart and Dunn",Technology,Turkey,2025-03-15
81,Collins Ltd,Healthcare,Uruguay,2025-03-16
82,"Dunn, Powers and Ward",Education,Nigeria,2025-03-16
83,"Wilson, Rios and Lopez",Technology,Mexico,2025-03-27
84,Christensen-Brown,Technology,United Kingdom,2025-03-23
85,"Wells, Gibson and Hansen",Technology,Mexico,2025-03-28
86,"Williams, Bradshaw and Wilson",Technology,Paraguay,2025-03-17
87,Young and Sons,Healthcare,Peru,2025-03-18
88,"Smith, Bailey and Hardy",Finance,United Kingdom,2025-03-27
89,Baldwin-Middleton,Education,Uruguay,2025-03-24
90,Brewer PLC,Healthcare,Argentina,2025-03-22
91,Hunter and Sons,Finance,Germany,2025-03-18
92,Peterson Group,Education,Argentina,2025-03-28
93,Mays-Newman,Healthcare,Mexico,2025-03-22
94,"Rogers, Delacruz and Stewart",Finance,Spain,2025-03-26
95,Burns-Smith,Healthcare,Peru,2025-03-19
96,Santos Inc,Technology,Chile,2025-03-20
97,Pierce Inc,Healthcare,Greece,2025-03-28
98,Kidd-Cook,Healthcare,United States,2025-03-25
99,Alexander-King,Technology,United Kingdom,2025-03-16
100,Kim-Gray,Healthcare,United Kingdom,2025-03-21
101,"Anderson, Cox and Collins",Education,Greece,2025-03-26
102,Sherman LLC,Technology,Spain,2025-03-17
103,"Green, Mills and Ramos",Finance,Venezuela,2025-03-28
104,"Martinez, Wiggins and Mendez",Healthcare,Spain,2025-03-25
105,Smith LLC,Healthcare,Colombia,2025-03-16
106,Heath-Woodward,Finance,Ecuador,2025-03-15
107,Obrien-Nguyen,Technology,Greece,2025-03-18
